; Core Asterisk Sounds in Chinese (中文)
; Generated using Piper TTS (zh_CN-huayan-medium)
; Sample rate: 22050 Hz, mono, 16-bit PCM WAV
; Total entries: 541
;
activated: 已激活。
added: 已添加。
agent-alreadyon: 该坐席已经登录。请输入您的坐席号码，然后按井号键。
agent-incorrect: 登录失败。请输入您的坐席号码，然后按井号键。
agent-loggedoff: 坐席已退出。
agent-loginok: 坐席已登录。
agent-newlocation: 请输入新的分机号码，然后按井号键。
agent-pass: 请输入您的密码，然后按井号键。
agent-user: 坐席登录。请输入您的坐席号码，然后按井号键。
all-circuits-busy-now: 当前所有线路均忙。
astcc-followed-by-the-pound-key: 然后按井号键。
at-tone-time-exactly: 听到提示音后，准确时间将是……
auth-incorrect: 密码错误。请输入您的密码，然后按井号键。
auth-thankyou: 谢谢您。
call-forwarding: 呼叫转移。
call-fwd-no-ans: 无应答呼叫转移。
call-fwd-on-busy: 遇忙呼叫转移。
call-fwd-unconditional: 无条件呼叫转移。
call-waiting: 呼叫等待。
calling: 正在呼叫。
cancelled: 已取消。
cannot-complete-as-dialed: 您拨打的号码无法接通。
check-number-dial-again: 请核实号码后重新拨打。
conf-adminmenu: 请按1静音或取消静音，按2锁定或解锁会议，按3移除最后一位用户，按4或6降低或提高会议音量，按7或9降低或提高您的音量，按8退出。
conf-adminmenu-162: 请按1静音或取消静音，按2锁定或解锁会议，按3移除最后一位用户，按4或6降低或提高会议音量，按5延长会议时间，按7或9降低或提高您的音量，按8退出。
conf-adminmenu-18: 请按1静音或取消静音，按2锁定或解锁会议，按3移除最后一位用户，按4或6降低或提高会议音量，按5延长会议时间，按7或9降低或提高您的音量，按8查看更多选项。
conf-adminmenu-menu8: 按1列出当前会议中的用户，按2移除所有非管理员用户，按3将所有非管理员用户静音或取消静音，按4录制本次会议，按8退出此菜单并返回会议。
conf-enteringno: 您正在进入会议号码
conf-errormenu: 选择无效
conf-extended: 会议已延长。
conf-full: 该会议已满。
conf-getchannel: 请输入通道号码，然后按井号键。
conf-getconfno: 请输入您的会议号码，然后按井号键。
conf-getpin: 请输入会议密码。
conf-hasjoin: 已加入会议。
conf-hasleft: 已离开会议。
conf-invalid: 该会议号码无效。请重试。
conf-invalidpin: 该密码对此会议无效。
conf-kicked: 您已被移出此会议
conf-leaderhasleft: 主持人已离开会议。
